hhid,Wave,Site,hours,days,cost,subsidy
231101008,1997,1,,,,25
231102002,1997,1,,,200,
231102002,2000,1,,,200,20
231102010,1997,1,,,95,
231102015,1997,1,,,50,
231102016,1997,1,,,50,
231102064,2000,1,,,200,20
231102065,2000,1,,,200,10
231102089,2006,1,,,50,
231103002,1997,1,,,10,
231103002,2006,1,,,200,
231103003,2004,1,,,,
231103003,2006,1,,,300,
231103005,1997,1,,,150,
231103006,1997,1,,,100,
231103009,1997,1,,,30,0
231103009,2000,1,,,200,
231103011,2000,1,,,70,
231103013,2000,1,,,60,
231103015,2000,1,,,100,
231103015,2004,1,,,50,
231103015,2006,1,,,100,
231103018,1997,1,,,100,
231103019,1997,1,,,50,0
231103019,2000,1,,,150,
231103020,1997,1,,,600,
231104004,2000,1,,,150,0
231104006,2000,1,,,90,
231104007,2004,1,,,,20
231104007,2006,1,,,400,
231104010,1997,1,,,200,
231104010,2000,1,,,150,
231104011,2006,1,,,,4
231104013,1997,1,,,200,
231104013,2000,1,,,200,0
231104015,1997,1,,,20,
231104015,2000,1,,,90,
231104017,1997,1,,,20,
231104017,2000,1,,,100,0
231104018,1997,1,,,50,
231104019,2000,1,,,200,0
231201004,2004,1,,,100,
231201008,1997,1,,,280,50
231201012,1997,1,,,95,25
231201017,1997,1,,,150,50
231201018,1997,1,,,0,50
231201018,2000,1,,,,50
231201062,2000,1,,,90,25
231201063,2006,1,,,,
231201082,2004,1,,,200,
231202005,1997,1,,,200,50
231202007,1997,1,,,15,50
231202007,2000,1,,,110,50
231202008,1997,1,,,200,25
231202009,1997,1,,,95,50
231202010,1997,1,,,450,50
231202011,2006,1,,,450,
231202015,1997,1,,,140,50
231202018,1997,1,,,0,50
231202019,1997,1,,,60,25
231202020,1997,1,,,130,50
231202020,2000,1,,,160,50
231202065,2000,1,,,130,50
231202083,2006,1,,,,
231203008,1997,1,,,5,
231203008,2000,1,,,300,
231203015,2006,1,,,600,
231203018,2000,1,,,30,
231203019,1997,1,,,60,
231203061,2000,1,,,370,
231203062,2004,1,,,100,
231203063,2004,1,,,100,
231203082,2004,1,,,80,10
231204006,2004,1,,,60,
231204008,1997,1,,,100,
231204015,1997,1,,,70,
231204015,2000,1,,,200,
231204018,2000,1,,,30,
231204064,2000,1,,,,
231204064,2004,1,,,80,
232101001,2004,2,,,200,
232101001,2006,2,,,100,
232101002,2004,2,,,600,
232102012,1997,2,,,110,
232102012,2000,2,,,30,
232102012,2004,2,,,200,
232102014,1997,2,,,30,
232102083,2004,2,,,200,
232103001,1997,2,,,20,
232103002,1997,2,,,,
232103003,2004,2,,,150,
232103006,2004,2,,,200,
232103011,2004,2,,,50,
232103020,2000,2,,,,
232104003,2000,2,,,20,
232104007,1997,2,,,40,
232104062,2000,2,,,,
232104081,2004,2,,,25,
232201006,1997,2,,,4,
232201010,1997,2,,,40,
232201019,1997,2,,,75,
232202004,1997,2,,,10,
232202007,1997,2,,,10,
232202007,2000,2,,,,
232202011,2000,2,,,,
232202061,2000,2,,,,
232202062,2000,2,,,,
232203002,1997,2,,,30,
232203004,2000,2,,,,
232203013,1997,2,,,10,
232203016,1997,2,,,8,
232203016,2000,2,,,,
232203017,1997,2,,,20,
232203017,2000,2,,,,
232203018,1997,2,,,1,
232204008,1997,2,,,15,
232204017,2000,2,,,,
232205062,2000,2,,,,
232205065,2000,2,,,80,
232205070,2000,2,,,150,
232301002,1997,2,,,50,
232301003,1997,2,,,30,
232301003,2000,2,,,270,10
232301004,2000,2,,,180,50
232301005,1997,2,,,200,
232301005,2000,2,,,100,18
232301008,1997,2,,,80,
232301010,1997,2,,,60,
232301012,1997,2,,,50,
232301012,2000,2,,,300,
232301013,1997,2,,,50,
232301013,2000,2,,,70,18
232301018,2000,2,,,50,18
232301018,2004,2,,,400,
232302002,2000,2,,,50,
232302010,2000,2,,,20,
232302010,2004,2,,,100,
232302011,1997,2,,,30,
232302011,2000,2,,,40,
232302012,1997,2,,,30,
232302015,1997,2,,,10,
232302015,2000,2,,,30,
232302015,2004,2,,,100,
232302018,1997,2,,,30,
232302018,2000,2,,,25,
232302019,1997,2,,,100,
232303004,1997,2,,,35,
232303007,2006,2,,,150,
232303008,1997,2,,,20,
232303011,1997,2,,,50,
232303012,2000,2,,,80,
232303012,2004,2,,,100,
232303013,1997,2,,,30,
232303013,2000,2,,,50,
232303081,2004,2,,,,
232303081,2006,2,,,100,
232303101,2006,2,,,200,
232304001,1997,2,,,20,
232304001,2006,2,,,20,
232304002,2006,2,,,10,
232304003,1997,2,,,30,
232304003,2000,2,,,60,
232304006,1997,2,,,30,
232304007,1997,2,,,35,
232304007,2000,2,,,60,
232304008,1997,2,,,25,
232304008,2000,2,,,60,
232304009,1997,2,,,30,
232304010,1997,2,,,30,
232304010,2000,2,,,40,
232304010,2006,2,,,50,
232304011,1997,2,,,10,
232304014,1997,2,,,10,
232304016,2004,2,,,50,
232401001,1997,2,,,120,
232401006,1997,2,,,100,10
232401006,2000,2,,,40,10
232401008,1997,2,,,75,
232401008,2000,2,,,,
232401009,1997,2,,,200,10
232401010,1997,2,,,200,10
232401010,2000,2,,,80,
232401013,1997,2,,,300,10
232401013,2006,2,,,,11
232401082,2004,2,,,100,10
232401082,2006,2,,,200,
232402005,1997,2,,,30,
232402005,2004,2,,,200,
232402005,2006,2,,,150,
232402007,2004,2,,,100,
232402019,1997,2,,,,
232402061,2004,2,,,200,
232403003,1997,2,,,,
232403004,2000,2,,,,
232403004,2004,2,,,200,
232403012,1997,2,,,60,0
232403016,1997,2,,,,0
232403063,2000,2,,,30,0
232403064,2000,2,,,5,
232404001,1997,2,,,,
232404003,2000,2,,,,
232404004,1997,2,,,100,
232404004,2000,2,,,,
232404005,1997,2,,,100,
232404005,2000,2,,,,
232404014,1997,2,,,100,
232404019,2000,2,,,30,
232404020,1997,2,,,100,
321101003,1989,1,,0,15,
321101003,1993,1,,,20,0
321101006,1993,1,,,48,9
321101007,1989,1,7,6,15,
321101009,1989,1,24,6,0,
321101009,1991,1,,,40,
321101010,1989,1,8,6,0,30
321101010,1991,1,,,40,18
321101010,1993,1,,,,9
321101016,1989,1,,,,28
321101016,1991,1,,,60,20
321101017,1989,1,9,6,10,5.2
321101017,1991,1,,,70,
321102004,1997,1,,,20,
321102009,1989,1,,,,
321102010,2004,1,,,300,
321102010,2006,1,,,400,
321102011,1989,1,,,,
321102011,1993,1,,,10,8
321102012,1997,1,,,500,
321102013,2000,1,,,400,
321102015,2004,1,,,300,
321102017,2000,1,,,350,
321102019,2004,1,,,200,
321102020,1997,1,,,100,99
321102061,2000,1,,,500,
321102063,2000,1,,,,
321102064,2000,1,,,180,60
321103003,2000,1,,,100,
321103004,1993,1,,,,0
321103004,1997,1,,,,
321103006,1993,1,,,100,
321103007,2004,1,,,,60
321103007,2006,1,,,,60
321103010,1989,1,8,6,17,26
321103010,1991,1,,,60,26
321103017,2000,1,,,,
321103017,2004,1,,,300,
321103020,1997,1,,,,40
321103020,2000,1,,,,
321103041,1997,1,,,,50
321103041,2000,1,,,320,
321103042,1997,1,,,0,
321103042,2000,1,,,200,
321103061,2004,1,,,250,
321103081,2004,1,,,500,40
321103081,2006,1,,,,
321104002,1989,1,9,6,15,
321104004,1989,1,9,6,15,
321104004,1991,1,,,46,26
321104007,1989,1,,,30,
321104008,1989,1,,0,30,
321104008,1991,1,,,60,
321104010,2004,1,,,350,
321104011,2006,1,,,300,
321104015,1989,1,,,,
321104015,1993,1,,,,
321104015,2000,1,,,150,
321104017,1997,1,,,30,
321104018,1991,1,,,15,
321104019,1989,1,,0,0,0
321104019,1991,1,,,20,
321104081,2006,1,,,60,
321105004,2004,1,,,900,
321105004,2006,1,,,600,
321105014,2000,1,,,70,
321105014,2004,1,,,50,
321105018,2000,1,,,300,
321105019,2006,1,,,,
321201004,1989,1,6,6,,15
321201005,1989,1,6,6,34,12
321201005,1991,1,,,100,22
321201007,1989,1,10,7,90,
321201007,1991,1,,,60,
321201011,2006,1,,,200,
321201014,2004,1,,,,
321201014,2006,1,,,500,
321201016,1989,1,1,1,21,
321201017,1989,1,5,6,0,
321201017,1991,1,,,10,
321201017,1993,1,,,150,9
321201017,2006,1,,,,
321201041,1997,1,,,,
321201044,2000,1,,,200,
321201049,2000,1,,,,
321203001,2004,1,,,300,
321203002,2004,1,,,80,
321203003,2004,1,,,400,
321203003,2006,1,,,200,
321203004,1989,1,,,30,
